### GO-terms (molecular_function)
GO:0016740	GO:0005488	GO:0005198	GO:0003824	GO:0003676	GO:0016787	GO:0000166	GO:0003723	GO:0005515	GO:0008289	GO:0003677
### GO-names (molecular_function)
transferase activity	binding	structural molecule activity	catalytic activity	nucleic acid binding	hydrolase activity	nucleotide binding	RNA binding	protein binding	lipid binding	DNA binding
### GO-terms (biological_process)
GO:0007049	GO:0019538	GO:0008152	GO:0009628	GO:0009416	GO:0009987	GO:0006412	GO:0009058	GO:0015979
### GO-names (biological_process)
cell cycle	protein metabolic process	metabolic process	response to abiotic stimulus	response to light stimulus	cellular process	translation	biosynthetic process	photosynthesis
### GO-terms (cellular_component)
GO:0016020	GO:0009579	GO:0005829	GO:0009536	GO:0005634	GO:0005886	GO:0009507	GO:0005783	GO:0005622	GO:0005739	GO:0005730	GO:0005576	GO:0005737	GO:0005654	GO:0005840	GO:0005856
### GO-names (cellular_component)
membrane	thylakoid	cytosol	plastid	nucleus	plasma membrane	chloroplast	endoplasmic reticulum	intracellular anatomical structure	mitochondrion	nucleolus	extracellular region	cytoplasm	nucleoplasm	ribosome	cytoskeleton
### PDB-chain	GO-terms (molecular_function)	GO-terms (biological_process)	GO-terms (cellular_component)
6WB9-4			GO:0005783,GO:0016020,GO:0005737,GO:0005622
3J8G-7		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005737,GO:0005840,GO:0005622
3J6X-64	GO:0003676,GO:0005488,GO:0003723		GO:0005829,GO:0005737,GO:0005840,GO:0005622
5OQJ-1	GO:0005515,GO:0005488		GO:0016020,GO:0005829,GO:0005634,GO:0005622,GO:0005737
7A01-42	GO:0003676,GO:0005488,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
6WM2-7	GO:0005515,GO:0005488		GO:0005886,GO:0016020
7UNG-6	GO:0016740,GO:0005488,GO:0003824,GO:0000166,GO:0005515		GO:0005829,GO:0005737,GO:0005856,GO:0005622
5MRC-66			GO:0016020,GO:0005622,GO:0005739,GO:0005737,GO:0005840
6SW9-9	GO:0003676,GO:0005488,GO:0005515,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	
4WQ1-41	GO:0003676,GO:0005488,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
7RRO-6	GO:0003824,GO:0016740,GO:0005488,GO:0000166		GO:0005737,GO:0005856,GO:0005622
6XTX-6	GO:0005488,GO:0003824,GO:0003676,GO:0016787,GO:0000166,GO:0005515,GO:0003677	GO:0007049,GO:0009987	GO:0005634,GO:0016020,GO:0005654,GO:0005622
3J6X-11	GO:0003676,GO:0005488,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005829,GO:0005737,GO:0005840,GO:0005622
6YWX-22			GO:0005737,GO:0016020,GO:0005739,GO:0005622
5LN3-5	GO:0003824,GO:0005515,GO:0005488,GO:0016787		GO:0016020,GO:0005829,GO:0005634,GO:0005622,GO:0005737,GO:0005654
6I9R-8	GO:0003676,GO:0005488,GO:0005515,GO:0003723		GO:0016020,GO:0005634,GO:0005622,GO:0005739,GO:0005730,GO:0005737,GO:0005840
7TQL-4	GO:0003676,GO:0005488,GO:0003723		
8CSP-7	GO:0003824,GO:0005515,GO:0016740,GO:0005488	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0016020,GO:0005634,GO:0005622,GO:0005739,GO:0005737,GO:0005654
6RAW-3	GO:0005488,GO:0003824,GO:0003676,GO:0016787,GO:0000166,GO:0005515,GO:0003677	GO:0007049,GO:0009987	GO:0005634,GO:0016020,GO:0005622
4W2E-3		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
8GZU-28			GO:0005737,GO:0016020,GO:0005739,GO:0005622
3J6X-73		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005829,GO:0005737,GO:0005840,GO:0005622
7EMF-4	GO:0005515,GO:0005488		GO:0005634,GO:0016020,GO:0005654,GO:0005622
1CNT-1	GO:0005515,GO:0005488	GO:0009987	GO:0005576,GO:0005737,GO:0005622
8CSP-5	GO:0016740,GO:0005488,GO:0003824,GO:0003676,GO:0003723,GO:0005515,GO:0003677		GO:0005737,GO:0016020,GO:0005739,GO:0005622
8FR8-4		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
5JB3-9	GO:0003676,GO:0005488,GO:0005515,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	
6IP5-20	GO:0003676,GO:0005488,GO:0005515,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0016020,GO:0005829,GO:0005634,GO:0005622,GO:0005730,GO:0005737,GO:0005654,GO:0005840
7EU3-7	GO:0003824,GO:0005488	GO:0008152	
6RAW-2	GO:0005488,GO:0003824,GO:0003676,GO:0016787,GO:0000166,GO:0005515,GO:0003677	GO:0007049,GO:0009987	GO:0005634,GO:0016020,GO:0005622
7DGQ-7			GO:0005737,GO:0016020,GO:0005739,GO:0005622
6FF4-7	GO:0003676,GO:0005488,GO:0005515,GO:0003723		GO:0005634,GO:0016020,GO:0005654,GO:0005622
6D9J-9	GO:0005488,GO:0003824,GO:0003676,GO:0016787,GO:0000166,GO:0003723,GO:0005515	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0016020,GO:0005829,GO:0005634,GO:0005886,GO:0005622,GO:0005576,GO:0005737
8OUW-3	GO:0005488,GO:0003824,GO:0003676,GO:0016787,GO:0000166,GO:0003677		GO:0005634,GO:0016020,GO:0005622
7ENC-5	GO:0005515,GO:0005488		GO:0016020,GO:0005634,GO:0005622,GO:0005730,GO:0005737,GO:0005654
5MLC-4	GO:0003676,GO:0005488,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0016020,GO:0009536,GO:0009507,GO:0005622,GO:0005737,GO:0005840
7ABI-8	GO:0003676,GO:0005488,GO:0005515,GO:0003723		GO:0005634,GO:0016020,GO:0005654,GO:0005622
6T83-5		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005829,GO:0005737,GO:0005840,GO:0005622
6KAF-5		GO:0009628,GO:0008152,GO:0015979,GO:0009987,GO:0009416	GO:0016020,GO:0009579,GO:0009536,GO:0009507,GO:0005622,GO:0005737
8D8J-5			GO:0016020,GO:0005622,GO:0005739,GO:0005737,GO:0005840
5MMI-6	GO:0003676,GO:0005488,GO:0003723		GO:0016020,GO:0009536,GO:0009507,GO:0005622,GO:0005737,GO:0005840
7DR7-1	GO:0003824,GO:0016787		GO:0005737,GO:0005634,GO:0016020,GO:0005622
6C8U-1	GO:0003676,GO:0005488,GO:0003723		
6SW9-8		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	
6RW4-4	GO:0003676,GO:0005488,GO:0005515,GO:0003723		GO:0016020,GO:0005829,GO:0005634,GO:0005886,GO:0005622,GO:0005739,GO:0005737,GO:0005654,GO:0005840
6B2Z-3	GO:0005488,GO:0008289		GO:0016020,GO:0005829,GO:0005622,GO:0005739,GO:0005737
6LSS-1	GO:0003723,GO:0003676,GO:0005488,GO:0000166		GO:0005634,GO:0016020,GO:0005730,GO:0005622
7RRO-9			GO:0005737,GO:0005856,GO:0005622
3JA8-3	GO:0005488,GO:0003824,GO:0003676,GO:0016787,GO:0000166,GO:0005515,GO:0003677		GO:0016020,GO:0005634,GO:0005622,GO:0005737,GO:0005654
7A5F-73	GO:0003723,GO:0003676,GO:0005488,GO:0000166		GO:0016020,GO:0005622,GO:0005739,GO:0005737,GO:0005840
8S9S-2	GO:0005515,GO:0005488		GO:0005783,GO:0016020,GO:0005737,GO:0005622
7K01-2	GO:0005515,GO:0005488		GO:0005634,GO:0016020,GO:0005622
3J77-31		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0016020,GO:0005829,GO:0005634,GO:0005622,GO:0005737,GO:0005840
6GYM-4			GO:0005634,GO:0016020,GO:0005622
3J7Z-5	GO:0003676,GO:0005488,GO:0005515,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005829,GO:0005737,GO:0005840,GO:0005622
7DGQ-8			GO:0005737,GO:0016020,GO:0005739,GO:0005622
7R7C-7	GO:0005515,GO:0005488		GO:0016020,GO:0005634,GO:0005622,GO:0005730,GO:0005737
5A9Q-7	GO:0005515,GO:0005488,GO:0005198	GO:0007049,GO:0009987	GO:0016020,GO:0005829,GO:0005634,GO:0005622,GO:0005737
6VPV-6		GO:0009987,GO:0008152,GO:0015979	GO:0016020,GO:0009579,GO:0005622
8GWA-3		GO:0009987,GO:0008152,GO:0015979	
6KGX-14		GO:0009987,GO:0008152,GO:0015979	GO:0016020,GO:0009579,GO:0009536,GO:0009507,GO:0005622,GO:0005737
6W2S-4		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005737,GO:0005622
6WLW-2	GO:0005515,GO:0005488		GO:0005886,GO:0016020
6WLW-1	GO:0005515,GO:0005488		GO:0005886,GO:0016020
5ZEB-2	GO:0003676,GO:0005488,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
5JBH-3	GO:0003676,GO:0005488,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005737,GO:0005840,GO:0005622
5MRC-44			GO:0016020,GO:0005622,GO:0005739,GO:0005737,GO:0005840
8GWA-1		GO:0009987,GO:0008152,GO:0015979	
1PD2-1	GO:0003824,GO:0016740	GO:0008152	GO:0005737,GO:0005622
7PZY-9	GO:0003676,GO:0005488,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005737,GO:0005840,GO:0005622
6WLW-5	GO:0005515,GO:0005488		GO:0005886,GO:0016020
6PEM-4	GO:0005515,GO:0005488		GO:0005886,GO:0016020
